Bus,v_nom,x,y,control,generator,interconnect,substation_lv,substation_off,country,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,sub_network
35075,230.0,-122.554,45.6695,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35076,230.0,-122.606,45.638,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35077,230.0,-122.719,47.2477,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35078,230.0,-122.67,48.8946,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35079,230.0,-122.666,45.8584,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35080,230.0,-122.645,47.4467,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35081,230.0,-122.565,47.1496,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35082,230.0,-122.668,47.5868,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35083,230.0,-122.62,47.6145,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35084,230.0,-122.552,45.7462,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35085,230.0,-122.584,45.6971,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35086,230.0,-122.64,45.6566,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35087,230.0,-122.665,47.498,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35088,230.0,-122.596,47.1162,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35089,230.0,-122.575,47.1492,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35090,230.0,-122.607,47.0621,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35091,230.0,-122.53,47.2402,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35092,230.0,-122.56,47.2904,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35093,230.0,-122.493,47.6283,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35094,230.0,-122.537,47.8029,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35095,230.0,-122.584,47.0922,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35096,230.0,-122.464,47.3789,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35097,230.0,-122.604,45.5753,PQ,,Western,True,True,PGE,,AC,None,1.0,0.0,inf,
35098,230.0,-122.54,45.6205,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35099,230.0,-122.486,47.0746,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35100,230.0,-122.419,47.2812,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35101,230.0,-122.424,45.763,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35102,230.0,-122.529,45.8824,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35103,230.0,-122.567,45.575,PQ,,Western,True,True,PGE,,AC,None,1.0,0.0,inf,
35104,230.0,-122.574,45.6766,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35105,230.0,-122.544,48.8277,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35106,230.0,-122.609,48.7084,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35107,230.0,-122.413,47.241,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35108,230.0,-122.577,47.2147,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35109,230.0,-122.608,48.209,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35110,230.0,-122.451,46.8447,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35111,230.0,-122.514,45.7632,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35112,230.0,-122.566,45.7218,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35113,230.0,-122.557,47.1245,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35114,230.0,-122.48,47.4255,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35115,230.0,-122.441,47.2126,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35116,230.0,-122.465,49.0235,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35117,230.0,-122.371,45.6699,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35118,230.0,-122.507,48.012,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35119,230.0,-122.354,47.2028,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35120,230.0,-122.491,47.2014,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35121,230.0,-122.518,47.3067,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35122,230.0,-122.422,47.1904,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35123,230.0,-122.452,48.8083,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35124,230.0,-122.436,48.759,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35125,230.0,-122.371,46.4722,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35126,230.0,-122.474,48.6497,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35127,230.0,-122.479,48.7025,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35128,230.0,-122.546,47.9174,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35129,230.0,-122.495,47.2202,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35130,230.0,-122.331,47.1365,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35131,230.0,-122.354,48.6364,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35132,230.0,-122.429,47.1045,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35133,230.0,-122.338,47.1903,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35134,230.0,-122.504,47.6876,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35135,230.0,-122.326,47.6146,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35136,230.0,-122.327,47.5031,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35137,230.0,-122.398,47.104,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35138,230.0,-122.413,47.0282,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35139,230.0,-122.311,47.3025,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35140,230.0,-122.309,47.6998,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35141,230.0,-122.491,47.7826,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35142,230.0,-122.329,45.6124,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35143,230.0,-122.344,45.644,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35144,230.0,-122.32,47.5435,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35145,230.0,-122.282,47.6768,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35146,230.0,-122.385,47.6954,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35147,230.0,-122.401,48.3831,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35148,230.0,-122.401,48.3917,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35149,230.0,-122.308,47.2016,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35150,230.0,-122.514,47.8798,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35151,230.0,-122.337,47.7031,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35152,230.0,-122.415,47.2992,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35153,230.0,-122.426,47.2213,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35154,230.0,-122.328,47.4004,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35155,230.0,-122.341,47.4459,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35156,230.0,-122.375,47.2861,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35157,230.0,-122.325,47.3627,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35158,230.0,-122.272,47.6889,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35159,230.0,-122.415,47.6404,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35160,230.0,-122.416,48.4514,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35161,230.0,-122.337,47.6603,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35162,230.0,-122.311,45.7986,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35163,230.0,-122.313,47.8251,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35164,230.0,-122.376,47.72,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35165,230.0,-122.399,47.6366,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35166,230.0,-122.331,47.7292,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35167,230.0,-122.241,47.665,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35168,230.0,-122.246,47.8822,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35169,230.0,-122.313,47.9219,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35170,230.0,-122.314,48.906,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35171,230.0,-122.32,47.5328,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35172,230.0,-122.229,47.4956,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35173,230.0,-122.344,47.1462,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35174,230.0,-122.268,47.2703,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35175,230.0,-122.224,47.0533,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35176,230.0,-122.399,47.1606,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35177,230.0,-122.347,47.713,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35178,230.0,-122.271,47.3951,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35179,230.0,-122.343,47.2423,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35180,230.0,-122.263,47.3349,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35181,230.0,-122.341,47.313,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35182,230.0,-122.317,48.2045,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35183,230.0,-122.236,47.8313,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35184,230.0,-122.296,47.5936,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35185,230.0,-122.223,47.8987,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35186,230.0,-122.296,47.6909,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35187,230.0,-122.316,47.7631,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35188,230.0,-122.349,47.421,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35189,230.0,-122.298,47.4298,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35190,230.0,-122.307,47.7113,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35191,230.0,-122.263,47.6398,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35192,230.0,-122.268,47.7043,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35193,230.0,-122.339,47.6408,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35194,230.0,-122.366,47.6708,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35195,230.0,-122.286,47.6468,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35196,230.0,-122.337,47.6732,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35197,230.0,-122.377,47.9233,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35198,230.0,-122.321,47.815,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35199,230.0,-122.219,47.653,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35200,230.0,-122.263,47.6345,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35201,230.0,-122.322,47.7292,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35202,230.0,-122.198,47.625,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35203,230.0,-122.367,47.8153,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35204,230.0,-122.336,47.8516,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35205,230.0,-122.184,47.0349,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35206,230.0,-122.244,47.5253,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35207,230.0,-122.208,47.4522,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35208,230.0,-122.206,47.507,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35209,230.0,-122.23,47.8401,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35210,230.0,-122.262,47.8719,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35211,230.0,-122.347,47.1506,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35212,230.0,-122.276,47.368,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35213,230.0,-122.333,47.2525,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35214,230.0,-122.356,47.1096,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35215,230.0,-122.322,47.2232,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35216,230.0,-122.275,47.8443,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35217,230.0,-122.175,47.9909,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35218,230.0,-122.284,47.3465,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35219,230.0,-122.334,47.4797,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35220,230.0,-122.29,47.7533,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35221,230.0,-122.154,47.5762,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35222,230.0,-122.212,45.6682,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35223,230.0,-122.276,48.1583,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35224,230.0,-122.197,48.0128,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35225,230.0,-122.269,47.6218,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35226,230.0,-122.252,47.8893,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35227,230.0,-122.295,47.9502,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35228,230.0,-122.163,47.2663,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35229,230.0,-122.157,47.5072,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35230,230.0,-122.26,47.3545,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35231,230.0,-122.129,47.3152,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35232,230.0,-122.219,47.8022,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35233,230.0,-122.216,47.7388,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35234,230.0,-122.286,48.0627,PQ,,Western,True,True,US,,AC,None,1.0,0.0,inf,
35235,230.0,-122.191,47.958,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35236,230.0,-122.287,47.8138,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35237,230.0,-122.23,47.8688,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35238,230.0,-122.191,47.5984,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35239,230.0,-122.259,47.537,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35240,230.0,-122.228,47.7109,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35241,230.0,-122.24,47.7242,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35242,230.0,-122.17,47.4854,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35243,230.0,-122.188,47.8217,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35244,230.0,-122.104,47.782,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35245,230.0,-122.271,47.3594,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35246,230.0,-122.238,47.349,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35247,230.0,-122.223,47.3235,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35248,230.0,-122.219,47.3765,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35249,230.0,-122.156,47.7263,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35250,230.0,-122.095,47.7358,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35251,230.0,-122.246,47.4739,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35252,230.0,-122.113,47.4626,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35253,230.0,-122.089,47.8353,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35254,230.0,-122.202,47.8077,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35255,230.0,-122.206,47.6034,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35256,230.0,-122.084,47.145,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35257,230.0,-122.078,47.116,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35258,230.0,-122.16,46.8799,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35259,230.0,-122.242,47.5212,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35260,230.0,-122.234,47.5196,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35261,230.0,-122.172,48.0135,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35262,230.0,-122.104,48.0409,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35263,230.0,-122.17,48.0427,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35264,230.0,-122.136,48.3909,PQ,,Western,True,True,PSEI,,AC,None,1.0,0.0,inf,
35265,230.0,-122.157,47.6734,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35266,230.0,-122.194,47.8101,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35267,230.0,-122.095,47.3361,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35268,230.0,-122.052,47.3826,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
35269,230.0,-122.14,47.486,PQ,,Western,True,True,BPAT,,AC,None,1.0,0.0,inf,
