Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,x1,y1,x2,y2
11,35004,35005,1.3269859200000003,9.987740064000002,6.55324511657215e-07,144.84794493537007,1.0,21.0812922949387,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.061,46.3165,-123.983,46.4983
12,35004,35521,0.8909544959999999,5.890537727999999,8.662045788699852e-07,144.84794493537007,1.0,14.491074518568407,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.061,46.3165,-123.962,46.2056
13,35004,35528,2.8937738879999997,15.82251696,7.89329972694812e-06,144.84794493537007,1.0,83.82142306531681,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.061,46.3165,-123.728,45.5991
14,35005,35010,1.985603616,12.766945248,1.2644402436462928e-06,144.84794493537007,1.0,33.145627450599626,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.983,46.4983,-123.615,46.656
15,35005,35521,2.0643695999999996,9.935483327999997,1.34425540852762e-06,144.84794493537007,1.0,32.58663769424859,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.983,46.4983,-123.962,46.2056
16,35005,41079,0.685584,6.094080000000001,0.0,144.84794493537007,1.0,29.33256896735378,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.983,46.4983,-124.349185,46.576647
17,35006,35009,1.185450912,4.698688032,9.413988657844991e-07,144.84794493537007,1.0,12.275657251739403,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.847,47.1743,-123.686,47.1889
18,35007,35012,3.4762155839999997,16.91564256,1.0325561856752782e-06,144.84794493537007,1.0,32.03719039104958,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.762,48.0025,-123.332,47.988
19,35008,35009,0.31887273599999993,1.2873743999999998,1.7097248477210668e-07,144.84794493537007,1.0,3.134904515530381,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.664,47.165,-123.686,47.1889
20,35008,35015,1.3292712000000002,15.773193000000001,2.1139760554505356e-06,905.2996558460629,1.0,44.80281014128278,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.664,47.165,-123.072,47.1479
21,35008,35047,2.341193184,15.448949855999999,4.83553875236295e-06,144.84794493537007,1.0,67.91821513247369,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.664,47.165,-122.788,47.3039
22,35008,35489,0.8407925999999999,8.944014600000001,1.1478596933417349e-06,905.2996558460629,1.0,25.85017254569101,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.664,47.165,-123.48,46.9692
23,35010,35769,1.3629409920000002,7.138757664000001,8.353287124553665e-06,144.84794493537007,1.0,62.98908325335293,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.615,46.656,-123.172,46.1789
24,35011,35021,0.34142083200000006,2.2243392,1.4144087376601555e-06,144.84794493537007,1.0,11.44755434636113,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.294,47.0719,-123.143,47.0673
25,35011,35489,0.9573799679999998,5.844375071999999,8.489813064482252e-07,144.84794493537007,1.0,18.144285755543045,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.294,47.0719,-123.48,46.9692
26,35012,35019,0.869625216,6.0492885119999995,9.405587061541693e-07,144.84794493537007,1.0,18.671488291690302,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.332,47.988,-123.082,48.0024
27,35012,35431,2.0396123999999993,25.5789486,3.911447174963242e-06,905.2996558460629,1.0,69.93634327850211,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.332,47.988,-123.16,47.3698
28,35013,35557,0.9848033279999999,5.349535775999999,5.249317370300357e-06,144.84794493537007,1.0,40.50822328766096,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.332,46.1904,-123.184,45.8409
29,35013,35779,0.38011824,2.742336,4.776307498424701e-07,144.84794493537007,1.0,7.052258087985121,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.332,46.1904,-123.407,46.154
30,35013,35825,0.7911639359999999,5.681663136000001,5.557655954631381e-07,144.84794493537007,1.0,12.383685582761899,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.332,46.1904,-123.172,46.1789
31,35014,35015,0.24117321600000002,1.6519527359999997,2.4322621298046627e-07,144.84794493537007,1.0,4.394922997916861,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.13,47.1504,-123.072,47.1479
32,35014,35020,1.079109216,5.570141472,5.129174543163201e-07,144.84794493537007,1.0,14.18928063323888,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.13,47.1504,-123.132,47.0228
33,35015,35025,0.49499164799999995,2.0913359039999997,1.7349296366309599e-07,144.84794493537007,1.0,3.890788661427998,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.072,47.1479,-123.021,47.1433
34,35015,35431,0.5589414,7.027235999999999,1.4714219701743332e-06,905.2996558460629,1.0,25.552246579611523,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.072,47.1479,-123.16,47.3698
35,35015,35489,1.0321848,12.074848200000002,1.5919344675488345e-06,905.2996558460629,1.0,36.74308158003345,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.072,47.1479,-123.48,46.9692
36,35016,35459,0.9595128959999999,5.954373216,1.316950220541903e-06,144.84794493537007,1.0,14.42363770794028,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.042,46.7918,-122.86,46.7559
37,35016,35474,1.8472679999999997,10.378827648,7.372400756143667e-07,144.84794493537007,1.0,21.240103072185175,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.042,46.7918,-122.913,46.6225
38,35017,35033,0.6898498559999998,3.933728639999999,4.7174963243016167e-07,144.84794493537007,1.0,10.820406690389232,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.038,48.6268,-122.945,48.5514
39,35018,35019,0.9579893759999999,5.576997312,4.654484352026885e-07,144.84794493537007,1.0,11.011452384271786,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.158,48.0874,-123.082,48.0024
40,35018,35035,0.9000956160000002,5.4115430400000015,1.5618567527830289e-06,144.84794493537007,1.0,21.446292207870506,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.158,48.0874,-122.891,48.0143
41,35020,35489,1.7112176640000003,8.44182432,1.632010081915564e-06,144.84794493537007,1.0,27.057038720283693,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.132,47.0228,-123.48,46.9692
42,35021,35026,0.9037520640000001,5.060524032,1.7013232514177697e-06,144.84794493537007,1.0,20.294376514852544,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.143,47.0673,-122.923,47.1717
43,35022,35023,0.219082176,0.9560088000000001,1.482881747532031e-07,144.84794493537007,1.0,2.7086776840427147,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.011,46.1277,-122.989,46.1467
44,35022,35030,1.668406752,7.241747616,1.4396135265700484e-06,144.84794493537007,1.0,28.205084884018664,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.011,46.1277,-122.809,46.3394
45,35022,35507,0.21664454400000005,1.1271000960000002,1.1888258769166142e-07,144.84794493537007,1.0,2.2878916920313888,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.011,46.1277,-122.986,46.1388
46,35022,35605,1.2049519679999998,8.058201984,2.4520058811174124e-06,144.84794493537007,1.0,36.18411018936212,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.011,46.1277,-122.886,45.8141
47,35023,35507,0.07617600000000001,0.380270592,9.787859693341735e-08,144.84794493537007,1.0,0.908337633716986,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.989,46.1467,-122.986,46.1388
48,35024,35027,0.5283567360000001,2.893621536,3.761394664986347e-06,144.84794493537007,1.0,27.31632536292054,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.963,46.66,-122.896,46.4187
49,35024,35034,0.9227960639999998,4.452944255999999,9.02415458937198e-06,144.84794493537007,1.0,46.856410745399714,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.963,46.66,-122.852,47.0745
50,35024,35474,0.669282336,2.679262272,2.8439403486662465e-07,144.84794493537007,1.0,5.653117595883464,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.963,46.66,-122.913,46.6225
51,35025,35026,0.43755494399999995,2.71491264,5.234194496954422e-07,144.84794493537007,1.0,8.054733268671203,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.021,47.1433,-122.923,47.1717
52,35026,35039,0.6903069119999999,3.265208064,1.2186515437933209e-06,144.84794493537007,1.0,12.995524084535349,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.923,47.1717,-122.752,47.1839
53,35027,35030,0.870386976,5.684253120000001,5.036756983826927e-07,144.84794493537007,1.0,11.05865803954923,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.896,46.4187,-122.809,46.3394
54,35027,35436,0.571929408,2.993412096,3.545053560176434e-06,144.84794493537007,1.0,25.406244707574828,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.896,46.4187,-122.588,46.5035
55,35028,35066,1.0201489919999998,5.072864544,1.0069313169502206e-06,144.84794493537007,1.0,16.68315173438392,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.848,46.7548,-122.649,46.8176
56,35028,35459,0.19318233599999998,0.5827464,5.082965763495064e-08,144.84794493537007,1.0,0.9223220969675874,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.848,46.7548,-122.86,46.7559
57,35029,35041,0.6386595840000001,4.115636928,5.503045578659946e-07,144.84794493537007,1.0,9.198411266691707,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.926,47.4535,-122.878,47.5296
58,35029,35431,1.2546187199999999,7.517200032,9.33837429111531e-07,144.84794493537007,1.0,19.916505847310074,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.926,47.4535,-123.16,47.3698
59,35031,35032,0.20811283199999997,0.9822133439999996,1.4702793530770848e-07,144.84794493537007,1.0,2.1980671856438496,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.858,46.9955,-122.886,46.9904
60,35031,35034,0.6345460800000001,4.14625968,3.15059861373661e-07,144.84794493537007,1.0,8.796160002552904,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.858,46.9955,-122.852,47.0745
61,35031,35038,0.45766540800000005,2.619844992,1.953371140516698e-07,144.84794493537007,1.0,5.14898559269102,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.858,46.9955,-122.791,47.003
62,35032,35459,1.3321658879999998,7.325693568000001,1.4791010291955469e-06,144.84794493537007,1.0,26.150002790768223,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.886,46.9904,-122.86,46.7559
63,35033,35063,1.760884416,8.006707008,2.7792480571308545e-06,144.84794493537007,1.0,19.151664635532438,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.945,48.5514,-122.692,48.5919
64,35035,35052,1.494116064,7.901888832000001,2.655324511657215e-06,144.84794493537007,1.0,17.209806074612302,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.891,48.0143,-122.682,47.9481
65,35036,35044,0.267530112,2.0072376,5.511447174963244e-07,144.84794493537007,1.0,7.615155471649317,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.807,46.9218,-122.715,46.8946
66,35036,35065,0.878004576,4.739823072,3.0514597773576982e-06,144.84794493537007,1.0,32.297005285497626,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.807,46.9218,-122.651,46.6517
67,35037,35038,0.24863846399999995,1.6676449919999992,3.553875236294896e-07,144.84794493537007,1.0,5.45332367014615,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.722,46.9892,-122.791,47.003
68,35037,35045,0.274690656,2.0345086079999994,1.4366729678638939e-07,144.84794493537007,1.0,3.5445595422180785,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.722,46.9892,-122.693,47.0142
69,35037,35060,0.49788633600000004,3.228491232000001,1.5421130014702795e-06,144.84794493537007,1.0,13.834582182125786,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.722,46.9892,-122.665,47.1074
70,35037,35276,1.0826514,13.729771800000004,4.720756143667297e-06,905.2996558460629,1.0,64.69029338058012,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.722,46.9892,-122.053,47.352
71,35037,35459,0.7969913999999998,9.007812,1.3057424910733038e-06,905.2996558460629,1.0,27.98245843391554,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.722,46.9892,-122.86,46.7559
72,35039,35077,0.3935252159999999,2.093468832,5.267800882167612e-07,144.84794493537007,1.0,7.519331815903539,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.752,47.1839,-122.719,47.2477
73,35040,35041,0.4669588800000001,2.764122336,2.764125183784919e-07,144.84794493537007,1.0,5.185378704672617,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.809,47.5276,-122.878,47.5296
74,35040,35087,0.5598936,3.680976672,6.44402436462928e-07,144.84794493537007,1.0,11.304708021359945,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.809,47.5276,-122.665,47.498
75,35042,35046,0.9031426559999999,5.123902464,4.931737030035707e-07,144.84794493537007,1.0,9.269341191448495,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.84,46.0854,-122.767,46.0192
76,35042,35443,0.44502019200000004,2.094382944,4.28481411468179e-07,144.84794493537007,1.0,6.356656768718676,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.84,46.0854,-122.918,46.1039
77,35043,35054,0.4165303680000001,2.784842208,6.910312959462298e-07,144.84794493537007,1.0,9.86818406811614,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.739,47.3623,-122.622,47.4023
78,35043,35058,0.529118496,3.4184741759999993,3.99915984036967e-07,144.84794493537007,1.0,7.959809581868091,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.739,47.3623,-122.67,47.3081
79,35044,35066,0.5147974080000001,2.5828234560000003,1.0178533921445076e-06,144.84794493537007,1.0,9.924409997694646,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.715,46.8946,-122.649,46.8176
80,35044,35088,0.45187603200000004,2.40639984,4.214660785549254e-06,144.84794493537007,1.0,26.241008534473043,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.715,46.8946,-122.596,47.1162
81,35045,35090,0.8575894080000002,4.523026176000001,2.9363579080025206e-07,144.84794493537007,1.0,8.416755972351064,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.693,47.0142,-122.607,47.0621
82,35046,35609,1.2118078079999999,7.7219611200000005,6.767485822306238e-07,144.84794493537007,1.0,17.65824719065535,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.767,46.0192,-122.972,45.949
83,35047,35077,0.20156169600000004,0.9755098560000001,1.229153539172443e-06,144.84794493537007,1.0,8.133230526062576,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.788,47.3039,-122.719,47.2477
84,35048,35056,0.342487296,1.738488672,2.0205839109430792e-07,144.84794493537007,1.0,3.892148692976862,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.691,45.7379,-122.652,45.7159
85,35048,35059,1.106380224,4.5624853440000015,3.6143667296786394e-06,144.84794493537007,1.0,34.44452160945343,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.691,45.7379,-122.568,46.0356
86,35048,35079,0.90877968,3.4749967679999996,1.3009871875656375e-06,144.84794493537007,1.0,13.538430603276487,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.691,45.7379,-122.666,45.8584
87,35048,35678,0.37204358400000004,2.2610560320000004,3.709304767905902e-07,144.84794493537007,1.0,6.99859680294958,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.691,45.7379,-122.722,45.6788
88,35049,35072,0.463454784,2.65778064,2.520478890989288e-07,144.84794493537007,1.0,5.170564088971942,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.658,47.7074,-122.658,47.7539
89,35049,35082,0.457056,2.75147712,1.4177693761814746e-06,144.84794493537007,1.0,13.431015326144934,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.658,47.7074,-122.668,47.5868
90,35049,35456,0.9112553999999999,11.491149599999998,4.583037177063642e-06,905.2996558460629,1.0,52.02473557314116,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.658,47.7074,-122.428,47.2661
91,35050,35067,0.308208096,2.4991822079999997,1.9533711405166976e-07,144.84794493537007,1.0,4.472031458605282,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.715,47.7601,-122.703,47.7207
92,35050,35071,0.32298624,1.5398216640000002,3.175803402646503e-07,144.84794493537007,1.0,4.847955621864947,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.715,47.7601,-122.684,47.7984
93,35051,35078,0.40266633599999996,2.7402030719999995,4.326822096198278e-07,144.84794493537007,1.0,7.480413090589395,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.772,48.9,-122.67,48.8946
94,35051,35127,1.5727296960000001,8.349651360000001,1.8235664776307497e-06,144.84794493537007,1.0,30.705030262005433,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.772,48.9,-122.479,48.7025
95,35052,35071,1.1394406080000001,5.329577663999999,8.132745221592102e-07,144.84794493537007,1.0,16.646548915525194,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.682,47.9481,-122.684,47.7984
96,35052,35118,0.7209296639999999,4.88364336,1.1396765385423229e-06,144.84794493537007,1.0,14.837633156600377,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.682,47.9481,-122.507,48.012
