technology,parameter,value,unit,year,source,further description
Residential Oil-Fired Furnaces,investment,49,USD/kBtu/hr,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,investment,49,USD/kBtu/hr,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,investment,49,USD/kBtu/hr,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,FOM,1.64,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,FOM,1.64,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,FOM,1.55,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,FOM,1.55,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,FOM,1.55,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Furnaces,FOM,1.55,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.14) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,efficiency,0.82,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,efficiency,0.95,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,efficiency,0.95,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,efficiency,0.95,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,efficiency,0.95,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,efficiency,0.95,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,lifetime,25,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,lifetime,25,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,lifetime,25,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,lifetime,25,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,lifetime,25,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,lifetime,25,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Boilers,investment,77.6,USD/kBtu/hr,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,investment,59.4,USD/kBtu/hr,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,investment,59.4,USD/kBtu/hr,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,investment,59.4,USD/kBtu/hr,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,investment,59.4,USD/kBtu/hr,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,investment,59.4,USD/kBtu/hr,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,FOM,1.4,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,FOM,2.7,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,FOM,2.7,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,FOM,2.7,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,FOM,2.7,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Boilers,FOM,2.7,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.17) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Oil-Fired Boilers,efficiency,0.84,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,efficiency,0.86,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,efficiency,0.86,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,efficiency,0.86,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,efficiency,0.86,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,efficiency,0.86,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,lifetime,23,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,lifetime,23,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,lifetime,23,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,lifetime,23,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,lifetime,23,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,lifetime,23,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,investment,70,USD/kBtu/hr,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,investment,39.4,USD/kBtu/hr,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,investment,39.4,USD/kBtu/hr,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,investment,39.4,USD/kBtu/hr,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,investment,39.4,USD/kBtu/hr,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,investment,39.4,USD/kBtu/hr,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,FOM,1.63,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,FOM,3.09,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,FOM,3.09,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,FOM,3.09,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,FOM,3.09,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Oil-Fired Boilers,FOM,3.09,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.20) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,efficiency,1,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,efficiency,1,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,efficiency,1,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,efficiency,1,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,efficiency,1,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,efficiency,1,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,lifetime,20,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,lifetime,20,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,lifetime,20,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,lifetime,20,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,lifetime,20,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,lifetime,20,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Electric Resistance Heaters,investment,67.1,USD/kBtu/hr,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,investment,67.1,USD/kBtu/hr,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,investment,154.9,USD/kBtu/hr,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,investment,154.9,USD/kBtu/hr,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,investment,154.9,USD/kBtu/hr,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,investment,154.9,USD/kBtu/hr,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,FOM,0,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,FOM,0,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,FOM,0,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,FOM,0,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,FOM,0,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Electric Resistance Heaters,FOM,0,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.25) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Central Air Conditioner,efficiency,3.6,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Highest SEER2 value converted to COP"
Residential Central Air Conditioner,efficiency,4,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Highest SEER2 value converted to COP"
Residential Central Air Conditioner,efficiency,4.1,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Highest SEER2 value converted to COP"
Residential Central Air Conditioner,efficiency,4.2,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Highest SEER2 value converted to COP"
Residential Central Air Conditioner,efficiency,4.2,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Highest SEER2 value converted to COP"
Residential Central Air Conditioner,efficiency,4.2,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Highest SEER2 value converted to COP"
Residential Central Air Conditioner,lifetime,15,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf"
Residential Central Air Conditioner,lifetime,15,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf"
Residential Central Air Conditioner,lifetime,15,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf"
