name,planning_horizon,region,carrier,min,max
reeds_storage_mandate,2037,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2038,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2039,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2040,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2041,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2042,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2043,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2044,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2045,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2046,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2047,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2048,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2049,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2050,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2019,NY,4hr_battery_storage,250,
reeds_storage_mandate,2020,NY,4hr_battery_storage,500,
reeds_storage_mandate,2021,NY,4hr_battery_storage,750,
reeds_storage_mandate,2022,NY,4hr_battery_storage,1000,
reeds_storage_mandate,2023,NY,4hr_battery_storage,1250,
reeds_storage_mandate,2024,NY,4hr_battery_storage,1500,
reeds_storage_mandate,2025,NY,4hr_battery_storage,1750,
reeds_storage_mandate,2026,NY,4hr_battery_storage,2000,
reeds_storage_mandate,2027,NY,4hr_battery_storage,2250,
reeds_storage_mandate,2028,NY,4hr_battery_storage,2500,
reeds_storage_mandate,2029,NY,4hr_battery_storage,2750,
reeds_storage_mandate,2030,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2031,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2032,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2033,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2034,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2035,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2036,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2037,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2038,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2039,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2040,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2041,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2042,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2043,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2044,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2045,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2046,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2047,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2048,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2049,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2050,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2019,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2020,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2021,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2022,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2023,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2024,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2025,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2026,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2027,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2028,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2029,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2030,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2031,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2032,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2033,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2034,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2035,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2036,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2037,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2038,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2039,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2040,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2041,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2042,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2043,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2044,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2045,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2046,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2047,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2048,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2049,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2050,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2020,VA,4hr_battery_storage,42.7,
reeds_storage_mandate,2021,VA,4hr_battery_storage,248.3,
reeds_storage_mandate,2022,VA,4hr_battery_storage,248.3,
reeds_storage_mandate,2023,VA,4hr_battery_storage,248.3,
reeds_storage_mandate,2024,VA,4hr_battery_storage,248.3,
reeds_storage_mandate,2025,VA,4hr_battery_storage,275,
reeds_storage_mandate,2026,VA,4hr_battery_storage,275,
reeds_storage_mandate,2027,VA,4hr_battery_storage,275,
reeds_storage_mandate,2028,VA,4hr_battery_storage,275,
reeds_storage_mandate,2029,VA,4hr_battery_storage,275,
reeds_storage_mandate,2030,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2031,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2032,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2033,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2034,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2035,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2036,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2037,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2038,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2039,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2040,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2041,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2042,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2043,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2044,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2045,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2046,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2047,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2048,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2049,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2050,VA,4hr_battery_storage,3100,
